ï»¿Contact_Name,Contact_Email,Contact_Affiliation,Metadata_Provider_Name,Location_ID,Location_Name,Location_Alias,Location_Activity,Location_Category,Measurement_Categories,Years_Data_Collected,Research_Theme,Description,Geographic_Region,Parent_Location_ID,Latitude,Longitude,Lat_Long_Measurement_Method,Topographical_Elevation,Topo_Elev_Measurement_Method,Depth_Profile_Elevations,Instrumentation,Variables_Measured,Related_Reference,Location_Metadata_Version
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,159-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,T403,T403,"-9,999.000000","-9,999.000000",RTK,-9999,N/A,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,160-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,T403,T403,38.982966,-107.009260,RTK,2968.05,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,161-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,T403,T403,38.982985,-107.009210,RTK,2966.64,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,162-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,T403,T403,38.982996,-107.009130,RTK,2964.33,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,163-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,T403,T403,38.983061,-107.009030,RTK,2961.79,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,164-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,WGM,WGM,38.937420,-107.012400,RTK,2976.83,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,165-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,WGM,WGM,38.937357,-107.012360,RTK,2975.56,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,166-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,WGM,WGM,38.937319,-107.012520,RTK,2974.16,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,167-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,WGM,WGM,38.937245,-107.012580,RTK,2972.16,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,168-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,WGM,WGM,38.937110,-107.012600,RTK,2970.18,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,169-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,WGM,WGM,38.937476,-107.011780,RTK,2983.74,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,170-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,WGM,WGM,38.937422,-107.011730,RTK,2983.29,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,171-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,WGM,WGM,38.937290,-107.011810,RTK,2980.32,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,172-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,WGM,WGM,38.937374,-107.011930,RTK,2979.43,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,173-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,WGM,WGM,38.937210,-107.012040,RTK,2974.45,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,174-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,WGM,WGM,38.936374,-107.011910,RTK,2972.36,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,175-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,WGM,WGM,"-9,999.000000","-9,999.000000",RTK,-9999,N/A,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,176-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,WGM,WGM,38.936167,-107.011890,RTK,2964.84,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,177-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Tree Sampling Site,UC,UC,38.856311,-107.097250,RTK,3013.26,USGS DEM,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,178-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Tree Sampling Site,UC,UC,38.857553,-107.097920,RTK,3015.61,USGS DEM,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,179-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Tree Sampling Site,UC,UC,38.857521,-107.098170,RTK,3020.63,USGS DEM,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,180-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,WGM,WGM,38.934887,-107.011700,RTK,2948.24,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,181-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Tree Sampling Site,UC,UC,38.856687,-107.098710,RTK,3040.65,USGS DEM,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,182-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,WGM,WGM,38.934645,-107.012100,RTK,2945.93,LIDAR,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,183-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Tree Sampling Site,UC,UC,38.857012,-107.091690,RTK,3010.53,USGS DEM,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,184-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Tree Sampling Site,UC,UC,38.857117,-107.091180,RTK,3027.74,USGS DEM,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,185-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Tree Sampling Site,UC,UC,38.858074,-107.091130,RTK,3071.35,USGS DEM,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,186-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Tree Sampling Site,UC,UC,38.858369,-107.092140,RTK,3042.65,USGS DEM,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,187-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Tree Sampling Site,UC,UC,38.857959,-107.092640,RTK,3017.84,USGS DEM,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,188-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Tree Sampling Site,UC,UC,38.856819,-107.091750,RTK,3006.08,USGS DEM,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,189-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Shrub Sampling Site,UC,UC,38.858264,-107.096900,RTK,3006.9,USGS DEM,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,190-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Shrub Sampling Site,UC,UC,38.857983,-107.096750,RTK,3004.74,USGS DEM,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,191-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Shrub Sampling Site,UC,UC,38.857126,-107.096820,RTK,3007.18,USGS DEM,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,192-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Shrub Sampling Site,UC,UC,38.856731,-107.097100,RTK,3010.31,USGS DEM,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,193-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Shrub Sampling Site,UC,UC,38.857300,-107.096390,RTK,3003.35,USGS DEM,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,194-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Shrub Sampling Site,UC,UC,38.857841,-107.095080,RTK,2999.46,USGS DEM,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,195-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Shrub Sampling Site,UC,UC,38.856785,-107.092740,RTK,2995.2,USGS DEM,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,196-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Shrub Sampling Site,UC,UC,38.857021,-107.092320,RTK,3000.07,USGS DEM,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,197-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Shrub Sampling Site,UC,UC,38.856692,-107.092090,RTK,2998.93,USGS DEM,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,198-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Shrub Sampling Site,UC,UC,38.857258,-107.092680,RTK,3006.03,USGS DEM,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,199-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,UC,UC,38.857451,-107.097490,RTK,3011.82,USGS DEM,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,200-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,UC,UC,38.857508,-107.097350,RTK,3010.96,USGS DEM,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,201-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,UC,UC,38.857565,-107.097170,RTK,3009.63,USGS DEM,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,202-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,UC,UC,38.857651,-107.097160,RTK,3009.48,USGS DEM,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,203-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,UC,UC,"-9,999.000000","-9,999.000000",RTK,-9999,N/A,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,204-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,UC,UC,38.856574,-107.092380,RTK,2995.43,USGS DEM,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,205-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,UC,UC,38.856762,-107.092190,RTK,2999.01,USGS DEM,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,206-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,UC,UC,38.856826,-107.092150,RTK,2999.01,USGS DEM,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,207-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,UC,UC,38.856899,-107.092100,RTK,3000.87,USGS DEM,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,208-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,UC,UC,38.857287,-107.097850,RTK,3016.45,USGS DEM,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,209-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,UC,UC,"-9,999.000000","-9,999.000000",RTK,-9999,N/A,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,210-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,UC,UC,"-9,999.000000","-9,999.000000",RTK,-9999,N/A,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,211-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,UC,UC,38.857050,-107.091950,RTK,3007.93,USGS DEM,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,212-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,UC,UC,38.857119,-107.091900,RTK,3009.66,USGS DEM,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
Dana Chadwick,kdc@stanford.edu,Stanford University,Dana Chadwick,213-ER18,N/A,N/A,2018 NEON Hyperspectral Ground Campaign,SFA One-off Sampling,Hydrogeology; Biogeochemistry; Vegetation,2018,Mapping vegetation properties to infer subsurface characteristics,Temporary 2018 Meadow Sampling Site,UC,UC,38.857161,-107.091850,RTK,3014.48,USGS DEM,N/A,N/A,Soil Moisture; Vegetation Height; Leaf Traits; Soil Properties; Species Cover; Microbial Communities,10.15485/1618130,2.0
